Date,Open,High,Low,Close,Adj Close,Volume
2018-06-27,197.460007,198.199997,193.160004,193.179993,190.378525,3233000
2018-06-28,193.460007,197.750000,193.210007,197.100006,194.241669,2621100
2018-06-29,198.199997,198.309998,196.179993,196.520004,193.670059,3006900
2018-07-02,195.740005,197.970001,194.750000,197.669998,194.803391,3018300
2018-07-03,198.330002,198.580002,196.139999,196.289993,193.443405,1567400
2018-07-05,198.000000,198.960007,197.149994,198.869995,195.985992,3101900
2018-07-06,198.110001,200.259995,197.479996,199.520004,196.874069,2050300
2018-07-09,200.800003,201.589996,199.250000,200.929993,198.265366,2377300
2018-07-10,201.339996,202.750000,200.119995,201.520004,198.847549,2265100
2018-07-11,200.470001,204.149994,200.250000,203.839996,201.136810,2827900
2018-07-12,205.000000,209.190002,204.750000,207.779999,205.024551,3970800
2018-07-13,207.100006,207.529999,203.440002,205.910004,203.179337,2590800
2018-07-16,205.619995,206.000000,203.759995,204.080002,201.373611,2955000
2018-07-17,203.000000,206.699997,201.630005,206.369995,203.633209,2919000
2018-07-18,206.649994,208.380005,205.380005,208.360001,205.596848,3595400
2018-07-19,208.360001,208.710007,205.759995,206.059998,203.327332,2264600
2018-07-20,206.190002,207.350006,206.179993,206.710007,203.968719,2801000
2018-07-23,206.699997,207.960007,205.649994,207.839996,205.083725,2717900
2018-07-24,208.740005,210.399994,208.309998,209.580002,206.800674,3509100
2018-07-25,210.000000,214.279999,209.649994,214.160004,211.319901,4967900
2018-07-26,210.149994,211.800003,204.559998,207.369995,204.619965,7279900
2018-07-27,211.690002,211.750000,201.220001,202.940002,200.248749,4913000
2018-07-30,202.949997,203.330002,196.199997,197.869995,195.245926,5939300
2018-07-31,199.020004,200.619995,196.229996,198.000000,195.374222,4416600
2018-08-01,199.270004,201.360001,198.350006,201.199997,198.531784,4614200
2018-08-02,199.089996,202.190002,197.869995,202.009995,199.331039,3615000
2018-08-03,202.009995,202.429993,198.279999,201.199997,198.531784,2722800
2018-08-06,201.000000,202.460007,200.509995,201.539993,198.867279,3061300
2018-08-07,202.500000,203.149994,201.960007,202.619995,199.932968,2422200
2018-08-08,202.419998,203.580002,202.080002,202.860001,200.169800,2697900
2018-08-09,203.190002,204.660004,202.649994,203.600006,200.899994,2444900
2018-08-10,202.970001,203.910004,202.160004,202.649994,199.962570,2567000
2018-08-13,202.649994,204.339996,201.889999,202.309998,199.627075,2014000
2018-08-14,202.809998,204.050003,201.389999,203.880005,201.176270,2076600
2018-08-15,202.649994,203.050003,199.500000,200.240005,197.584534,2955700
2018-08-16,201.940002,204.229996,200.820007,203.600006,200.899994,2894000
2018-08-17,203.860001,204.600006,202.009995,203.210007,200.515106,2308900
2018-08-20,203.470001,204.979996,202.360001,204.750000,202.034698,2469300
2018-08-21,205.000000,205.929993,202.630005,203.089996,200.396729,1979600
2018-08-22,202.500000,205.220001,202.250000,204.309998,201.600571,1905300
2018-08-23,204.490005,205.960007,204.179993,205.220001,202.498489,2247600
2018-08-24,206.000000,209.500000,205.570007,209.399994,206.623016,2722600
2018-08-27,210.179993,211.750000,210.179993,211.529999,208.724808,2550200
2018-08-28,211.699997,213.029999,210.940002,212.630005,209.810211,2240200
2018-08-29,212.500000,215.860001,212.449997,214.570007,211.724487,3172100
2018-08-30,214.250000,215.279999,212.830002,213.800003,210.964722,3083000
2018-08-31,213.580002,215.800003,213.500000,215.559998,212.701370,3020000
2018-09-04,215.679993,217.350006,214.679993,216.820007,213.944656,3776500
2018-09-05,215.759995,215.770004,210.309998,211.160004,208.359726,3869500
2018-09-06,211.440002,213.270004,210.470001,212.770004,209.948349,3032800
2018-09-07,211.020004,213.240005,209.699997,211.089996,208.290634,3298500
2018-09-10,212.660004,213.479996,211.380005,211.669998,208.862961,3326300
2018-09-11,210.520004,213.559998,210.100006,213.449997,210.619308,2728500
2018-09-12,213.050003,214.460007,211.860001,214.029999,211.191666,2291300
2018-09-13,214.770004,218.690002,214.369995,217.220001,214.339355,3898000
2018-09-14,218.000000,218.820007,216.419998,217.960007,215.069519,2638000
2018-09-17,219.970001,219.979996,216.110001,216.470001,213.599304,2500900
2018-09-18,217.460007,220.960007,217.300003,220.050003,217.131805,2851000
2018-09-19,220.630005,221.410004,217.160004,218.190002,215.296478,2883000
2018-09-20,219.979996,221.919998,218.899994,221.389999,218.454041,3108500
2018-09-21,222.139999,223.369995,220.889999,221.899994,218.957260,7177800
2018-09-24,220.410004,222.139999,218.210007,221.350006,218.414581,2520000
2018-09-25,221.919998,223.039993,221.220001,222.119995,219.174347,2181300
2018-09-26,222.619995,224.360001,221.699997,222.259995,219.312500,2963600
2018-09-27,222.690002,223.610001,222.059998,222.309998,219.361847,2645200
2018-09-28,222.130005,223.690002,221.050003,222.610001,219.657837,2955000
2018-10-01,224.839996,225.350006,223.089996,223.770004,220.802490,2955500
2018-10-02,223.500000,223.729996,221.009995,222.369995,219.421021,3060700
2018-10-03,223.779999,224.330002,222.550003,223.130005,220.170975,2662400
2018-10-04,222.070007,222.149994,214.589996,216.149994,213.283524,5664900
2018-10-05,216.449997,217.190002,211.850006,213.259995,210.675537,4268300
2018-10-08,211.699997,211.800003,203.250000,208.259995,205.736115,5611000
2018-10-09,208.059998,210.990005,206.690002,209.759995,207.217941,5659400
2018-10-10,209.330002,209.330002,196.009995,196.690002,194.306351,8455000
2018-10-11,194.649994,199.729996,192.910004,194.509995,192.152756,9185200
2018-10-12,200.570007,204.839996,199.539993,204.220001,201.745102,6160300
2018-10-15,203.720001,203.800003,199.529999,200.320007,197.892349,3969200
2018-10-16,202.679993,208.119995,202.529999,207.779999,205.261963,4694900
2018-10-17,207.630005,208.000000,204.690002,207.380005,204.866791,4431200
2018-10-18,206.970001,207.220001,202.259995,203.619995,201.152359,6264500
2018-10-19,203.869995,207.440002,203.000000,203.059998,200.599121,4832500
2018-10-22,203.720001,206.259995,201.880005,204.500000,202.021713,4045100
2018-10-23,199.490005,203.729996,196.600006,202.429993,199.976776,5076800
2018-10-24,202.639999,203.470001,195.380005,195.690002,193.318451,4415900
2018-10-25,197.000000,205.100006,195.710007,204.199997,201.725296,4940700
2018-10-26,199.199997,202.410004,195.729996,197.490005,195.096649,6523600
2018-10-29,200.350006,202.339996,187.630005,191.039993,188.724808,6623800
2018-10-30,192.580002,193.630005,183.750000,187.729996,185.454926,9239200
2018-10-31,193.250000,199.960007,193.250000,197.669998,195.274460,7683500
2018-11-01,198.889999,200.000000,195.009995,199.710007,197.289764,4439000
2018-11-02,198.919998,200.990005,195.250000,197.720001,195.323853,4261500
2018-11-05,198.199997,199.130005,194.289993,197.979996,195.580704,3110800
2018-11-06,198.500000,200.669998,197.529999,199.149994,196.736511,2916000
2018-11-07,202.190002,208.380005,201.740005,208.240005,205.716370,4922800
2018-11-08,207.360001,208.860001,206.000000,208.860001,206.328842,3922200
2018-11-09,207.380005,207.979996,203.419998,205.619995,203.128113,3229700
2018-11-12,204.619995,205.250000,198.729996,199.139999,196.726654,3507300
2018-11-13,199.779999,202.250000,197.550003,198.169998,195.768387,2852000
2018-11-14,200.559998,202.229996,195.610001,197.580002,195.185547,3218600
2018-11-15,197.020004,201.149994,194.330002,200.710007,198.277634,3424600
2018-11-16,199.000000,200.910004,197.449997,199.039993,196.627838,2939500
2018-11-19,199.039993,199.399994,188.550003,189.279999,186.986145,4488100
2018-11-20,181.979996,188.800003,177.399994,187.059998,184.793030,7892900
2018-11-21,188.539993,190.089996,186.240005,187.660004,185.385757,3950200
2018-11-23,184.880005,186.229996,182.259995,182.600006,180.387085,2601000
2018-11-26,185.580002,192.229996,183.679993,191.850006,189.524994,6917200
2018-11-27,190.750000,193.039993,189.449997,192.979996,190.641312,3976300
2018-11-28,195.000000,202.470001,193.270004,202.279999,199.828598,6203000
2018-11-29,202.050003,202.050003,196.309998,196.660004,194.276718,5447700
2018-11-30,196.589996,201.669998,195.800003,201.070007,198.633255,7944700
2018-12-03,206.009995,209.910004,205.940002,209.860001,207.316711,6599900
2018-12-04,207.389999,209.520004,199.619995,200.490005,198.060303,6628600
2018-12-06,194.800003,203.369995,194.220001,202.990005,200.529984,6558900
2018-12-07,203.779999,206.520004,194.899994,196.500000,194.118652,4968100
2018-12-10,194.649994,198.720001,193.000000,198.059998,195.659744,4101000
2018-12-11,201.080002,201.399994,196.059998,197.740005,195.343628,3582400
2018-12-12,200.460007,205.960007,200.259995,200.289993,197.862717,5160100
2018-12-13,200.800003,202.199997,195.309998,198.960007,196.548843,5246200
2018-12-14,196.600006,197.240005,193.190002,195.330002,192.962830,3801700
2018-12-17,193.500000,193.539993,188.770004,190.449997,188.141953,5459900
2018-12-18,192.059998,194.350006,190.100006,191.610001,189.287918,4345200
2018-12-19,190.929993,194.350006,184.759995,187.119995,184.852310,6100600
2018-12-20,185.600006,188.339996,180.229996,182.710007,180.495758,6562600
2018-12-21,181.199997,185.270004,175.000000,175.190002,173.066879,8374300
2018-12-24,173.149994,177.979996,171.889999,174.649994,172.533432,4351900
2018-12-26,176.000000,186.500000,176.000000,186.429993,184.170654,5261400
2018-12-27,183.979996,188.699997,180.160004,188.690002,186.403305,4695200
2018-12-28,189.710007,190.100006,184.179993,186.160004,183.903961,4830300
2018-12-31,186.919998,189.000000,186.360001,188.649994,186.363770,3658500
2019-01-02,185.830002,190.820007,185.309998,189.740005,187.440567,4294000
2019-01-03,187.500000,187.509995,180.979996,181.179993,178.984314,5070900
2019-01-04,184.850006,191.250000,184.440002,189.759995,187.460342,4452900
2019-01-07,190.630005,193.020004,189.710007,191.220001,188.902649,4219200
2019-01-08,189.899994,192.490005,188.500000,192.279999,190.278168,5069700
2019-01-09,194.300003,196.550003,193.279999,195.770004,193.731827,5471500
2019-01-10,193.029999,197.240005,191.320007,196.949997,194.899521,3693600
2019-01-11,196.070007,196.699997,194.710007,195.899994,193.860443,2500100
2019-01-14,194.380005,197.000000,194.000000,195.429993,193.395325,3336500
2019-01-15,195.220001,197.350006,193.100006,196.520004,194.474014,3783000
2019-01-16,197.509995,198.410004,196.500000,197.770004,195.711014,3546300
2019-01-17,197.449997,200.399994,197.100006,199.309998,197.234955,2764100
2019-01-18,201.179993,202.529999,200.020004,202.000000,199.896942,4866600
2019-01-22,199.789993,201.000000,197.649994,199.460007,197.383392,4457700
2019-01-23,201.050003,201.059998,196.600006,198.350006,196.284988,3086100
2019-01-24,198.419998,200.199997,197.929993,199.789993,197.709961,2792000
2019-01-25,202.190002,203.889999,199.789993,202.940002,200.827164,4677500
2019-01-28,200.740005,200.979996,198.059998,200.160004,198.076126,3277200
2019-01-29,200.190002,200.669998,197.660004,199.240005,197.165695,3661900
2019-01-30,200.419998,204.830002,199.899994,204.020004,201.895935,4079500
2019-01-31,209.800003,212.970001,208.000000,211.130005,208.931915,11316200
2019-02-01,211.990005,214.639999,211.199997,213.770004,211.544418,6470100
2019-02-04,214.350006,214.949997,213.199997,214.910004,212.672546,4397500
2019-02-05,215.000000,216.699997,214.949997,215.860001,213.612671,3091500
2019-02-06,215.250000,215.899994,213.679993,215.300003,213.058502,2698000
2019-02-07,213.460007,214.449997,211.600006,213.970001,211.742340,2742900
2019-02-08,212.000000,216.630005,212.000000,216.580002,214.325180,3248400
2019-02-11,216.990005,218.649994,216.339996,217.100006,214.839752,2974400
2019-02-12,218.559998,219.490005,217.639999,218.910004,216.630920,3411400
2019-02-13,219.789993,221.279999,219.440002,220.539993,218.243942,2996600
